problem_sha256,applied_params_hash,status,elapsed_ms,num_variables,num_bool,num_int,num_constraints,num_workers,num_conflicts,num_branches,deterministic_time
ba0fe698c28be555ec428f05daa2aa901ecf9694c6c23043b76a91a7a847b111,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,25129,1316,869,447,15565,8,567,5512,6.13448
bd199a3871502160bd893d35533b1c4526edf27d6ed9d60ab786ed7aded632ec,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,9286.06,3240,2300,940,38656,8,6167,110297,9.87776
be13cfc10b1e19807faf591c4d8070d5a8e843abc31efe3c38fd508fda6b56a6,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,2147.91,1316,869,447,15569,8,714,5426,1.85308
c0c9ef6c22ed1654a88a14f6196e5e6f4540bcf3faa203510aaeeeeb7431a1bc,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,19894.8,4054,2930,1124,48003,8,6507,67477,17.726
c3fc601be3277e3d77c7d55dbe0f58cfc37e877c76121c066e353be4cf3f9f65,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,22874.8,4589,3316,1273,54716,8,5733,74285,19.6757
c7f14795eb4a64323fdf24caec0e981f42cf07ab79ecaa858de35afe90adb53b,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,13631.5,3727,2581,1146,45679,8,5415,62615,11.0635
cb16513bfbe2809b67cf939736abc19e5d403dcabadcae9b3aae756b2f6b1e29,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,11764.5,4091,2956,1135,47873,8,4064,54561,10.3379
cbc04bca5112cb9362f9db9bb007b46376c1488fed34d7b18df67290b22fc099,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,422905,11127,8496,2631,136453,8,35669,198723,307.613
d1963519912cbd33d8d63cf99f6bcd2e64aad8b89e4a0334bed64a35e3d93360,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,573378,10404,7751,2653,122534,8,40296,230447,306.123
d2736553fba0f9ea5c93118c1e35641595afe997e883759b1ada665c9859deb6,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,7713.8,3098,2149,949,36351,8,1016,19591,5.27028
d381b7ed2453aa3404ecf44978c151549d5166e44f9359a2d61b3e2c19b84d0a,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,18205,4440,3147,1293,52885,8,2648,61557,13.1361
d43568fb51736eb3ba5d256ed2aa63198910e645a62dbc336dbdee29a98d1df0,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,25169.9,5109,3610,1499,62235,8,6731,148858,22.114
d519e83718e688a924bdbc74e37419567b29b2fad0995ec7bbdd857926592fef,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,7036.23,2199,1403,796,27405,8,2673,61472,5.02013
da79ad0e3d13908a25c0a97e051b6e6bcc675cdb0311c8a8699a76a6eba6a056,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,12282.4,3158,2012,1146,40030,8,3621,99415,10.5022
db2bfd25d3ddd29864d7c63649b740c31f3a212ecd5c39951b7db2cf2daaf71e,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,4397.47,2325,1530,795,27686,8,583,16446,3.74854
dd4063e9bca83aceee4a80f854ea7955dce420f547cfb34cec970cdb88755053,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,7494.29,2733,1938,795,32190,8,2823,22565,7.50629
e2f7812832351c2fe6745cd57d8cf525ea0afde5e0ae3b84c74a7dbc2d59779c,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,7159.5,2326,1531,795,28510,8,7538,79867,9.08225
e4cbb10b880925006b58b8a9c14a80444228f8939ef41242f9a011c6538e16ad,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,4927.81,1863,1266,597,22077,8,855,12860,3.75989
e81927a0d98c976258a99ea66dd94ce946c76779650be126de769c6ad4a9e15c,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,15933.1,4358,2861,1497,55027,8,2634,54078,11.0553
e8318822b535ba3dc52423e86eaa33c82b3f68e5a91241746f8ff3fa0dd8a53f,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,5916.7,2729,1936,793,32391,8,2901,21875,5.78252
f1973192d144d907a3890ee014f52cb62047655870311695ad526ee60808e8e2,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,70036,8588,6402,2186,98356,8,9208,95695,46.2971
f28d9607dae499e9f824abf7851621947030db7dd2223dd4057f9beb407fade1,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,7826.01,2711,1924,787,32178,8,7591,59883,9.39498
fe9cad7ebe07a2af022824a9236ea6e13d00ce8de4b91efb3b17286fc456823e,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,8743.69,2711,1924,787,32182,8,9702,30783,9.40277
ffb5ffbbf9774b8bec1dc190efdafb362fde347b8ad03b8a5c27ba1b09d5b562,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,25898.4,5099,3604,1495,62421,8,7017,171780,22.7093
